infection,range_lo_d,range_hi_d,usual_lo_d,usual_hi_d,open_ended,timing_text,pathogen,route,syndrome,core,rare,clue,first_test,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Papua New Guinea,Solomon Islands,Vanuatu,Kiribati,Tuvalu,New Caledonia,French Polynesia,South Asia,SE Asia – mainland,SE Asia – maritime,Sub-Saharan Africa,N Africa / Middle East,Latin America / Caribbean,N Australia,S Australia / NZ region,North America,N Europe / N Asia
Tick-borne encephalitis,4,28,7,14,0,7–14 d (4–28 d),vir,arth,cns,0,1,Biphasic: viraemic febrile phase then meningoencephalitis. Ixodes tick bite or unpasteurised dairy in endemic Europe/N Asia.,TBE IgM/IgG serology (serum/CSF) — reference lab. Supportive care; vaccine-preventable.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u
Malaria – P. falciparum,6,180,9,14,1,"9–14 d (6 d–6 mo, rarely longer)",par,mosq,sys,1,0,Any fever after endemic travel; may have no localising signs. Thrombocytopenia common.,Malaria LAMP + films (urgent); repeat 12–24 h if negative,absent,absent,absent,absent,absent,c,c,c,absent,absent,absent,absent,c,u,u,c,u,u,absent,absent,u,absent
Measles,7,21,10,14,0,10–14 d (7–21 d),vir,p2p,sys,0,1,"Fever, cough, coryza, conjunctivitis, Koplik spots, then rash.","PCR throat swab+urine; IgM. Airborne isolation (vaccine-coverage dependent, global).",u,u,u,u,u,c,u,u,c,u,u,u,c,u,c,c,u,u,u,u,u,u
Enteric fever (typhoid / paratyphoid),3,60,7,21,1,7–21 d (3–60 d),bac,food,sys,1,0,"Sustained fever ± abdominal symptoms; normal WCC, eosinopenia, mild transaminitis.",2× blood cultures before antibiotics; stool culture. No serology.,c,c,u,u,u,c,u,u,u,u,absent,absent,c,u,u,u,u,u,absent,absent,absent,absent
African trypanosomiasis,3,21,7,21,1,1–3 wk (E. African),par,arth,cns,0,1,Fever ± chancre after game parks (East Africa); later CNS.,Blood film/PCR; serology; refer,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,absent,absent,absent,absent,absent,absent
Q fever,14,39,14,21,0,2–3 wk (2–6 wk),bac,env,sys,0,1,Fever ± pneumonia/hepatitis after livestock/abattoir/birthing animals.,Serology (phase I/II); PCR early,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,u,c,u,c,u,u,u
Malaria – P. vivax / P. ovale,12,365,12,30,1,12–30 d (to >1 yr; relapses),par,mosq,sys,0,0,Relapse months–years after travel; vivax dominates S Asia.,Malaria LAMP + films; note relapse potential,absent,absent,absent,absent,absent,c,c,c,absent,absent,absent,absent,c,u,u,u,absent,u,absent,absent,absent,absent
Brucellosis,7,60,14,28,1,2–4 wk (1 wk–months),bac,food,sys,0,1,"Undulant fever, sweats, arthralgia after unpasteurised dairy / animal contact.",Blood culture (warn lab); serology,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,absent,absent,u,c,u,u,absent,absent,u
Acute HIV seroconversion,10,42,14,28,0,2–4 wk (10 d–6 wk),vir,p2p,sys,0,0,"Fever, rash, pharyngitis, lymphadenopathy after new sexual contact.",HIV Ag/Ab; repeat at 4–6 wk if negative,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
Hantavirus (Old World / HFRS),7,42,14,28,1,2–4 wk (1–6 wk),vir,env,sys,0,1,"Haemorrhagic fever with renal syndrome after rodent-excreta exposure (Europe/Asia); fever, AKI, thrombocytopenia.",Hantavirus serology (IgM/IgG); PCR early — reference lab.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,absent,absent,absent,absent,absent,absent,u
Hantavirus (New World / HPS),7,42,14,28,1,2–4 wk (1–6 wk),vir,env,resp,0,1,Hantavirus cardiopulmonary syndrome after rodent-excreta exposure (Americas); prodrome then rapid respiratory failure.,Hantavirus serology (IgM/IgG); PCR — reference lab. High mortality; supportive/ICU.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,absent,absent,u,absent
Bartonellosis,5,60,14,42,1,2–6 wk (5 d–months),bac,arth,sys,0,1,Clumped entry: cat-scratch disease (regional lymphadenopathy after cat/kitten contact) and other Bartonella spp.; endocarditis in some.,Serology; PCR of tissue/blood; discuss with ID/Micro. Consider in culture-negative endocarditis.,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,u,u,u,absent,absent,u,u
Endemic mycoses,7,120,14,45,1,clumped — see specialist references,fungal,env,resp,0,1,Beyond this tool's scope. Consider after caves/soil/construction or in advanced HIV; look elsewhere for detail.,Antigen/serology/culture — discuss with ID/Micro,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,absent,u,absent,absent,u,absent
Acute hepatitis A / E,15,64,25,40,0,4–6 wk (2–9 wk),vir,food,gi,0,0,Prodromal fever settles as jaundice appears; HEV severe in pregnancy.,HAV IgM; HEV IgM ± PCR,u,u,u,u,u,c,u,u,u,u,u,u,c,u,c,c,u,u,u,u,absent,absent
Acute schistosomiasis (Katayama),14,84,28,56,0,4–8 wk (2–12 wk),par,env,sys,0,1,"Fever, urticaria, cough, eosinophilia after freshwater exposure.",Serology (repeat 12 wk); stool/urine microscopy from 8–12 wk,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,c,absent,u,absent,absent,absent,absent
Rabies / ABLV,10,365,20,90,1,3–12 wk (10 d–years),vir,env,cns,0,1,Encephalitis/ascending paralysis after mammal or any bat contact.,Reference-lab PCR/antibody; prioritise PEP for the exposed,u,u,u,u,u,u,u,u,u,u,u,u,c,c,c,u,u,u,u,absent,absent,absent
Amoebic liver abscess,14,365,56,140,1,8–20 wk (2 wk–years),par,food,gi,0,1,"RUQ pain, neutrophilia, raised ALP; often no diarrhoea.",USS/CT; Entamoeba serology; stool PCR,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,u,u,u,u,absent,u,absent,absent,absent,absent
Tuberculosis (reactivation / active),42,3650,60,365,1,weeks–years,bac,p2p,resp,0,0,"Cough, sweats, weight loss; often long after exposure.",CXR; sputum PCR/culture; IGRA,u,u,u,u,u,c,u,u,c,u,u,u,c,u,c,c,u,u,u,u,u,u
